State;Description;Region
8050301;Alabama;80504
8050402;Alaska;80502
8050404;Arizona;80506
8050105;Arkansas;80504
8050406;California;80502
8050408;Colorado;80502
8050209;Connecticut;80501
8050210;Delaware;80503
8050312;Florida;80504
8050313;Georgia;80504
8050416;Idaho;80502
8050117;Illinois;80505
8050118;Indiana;80505
8050119;Iowa;80505
8050120;Kansas;80505
8050321;Kentucky;80504
8050322;Louisiana;80504
8050223;Maine;80501
8050224;Maryland;80503
8050225;Massachusetts;80501
8050126;Michigan;80505
8050127;Minnesota;80505
8050328;Mississippi;80504
8050129;Missouri;80504
8050430;Montana;80502
8050131;Nebraska;80505
8050432;Nevada;80502
8050233;New Hampshire;80501
8050234;New Jersey;80503
8050435;New Mexico;80506
8050236;New York State;80503
8050337;North Carolina;80504
8050138;North Dakota;80505
8050139;Ohio;80505
8050440;Oklahoma;80506
8050441;Oregon;80502
8050242;Pennsylvania;80503
8050303;Puerto Rico;80503
8050244;Rhode Island;80501
8050345;South Carolina;80504
8050146;South Dakota;80505
8050347;Tennessee;80504
8050448;Texas;80506
8050449;Utah;80502
8050250;Vermont;80501
8050351;Virginia;80504
8050453;Washington;80502
8050354;West Virginia;80504
8050155;Wisconsin;80505
8050456;Wyoming;80502
